LocationID,lat,lon,Borough,Zone,service_zone
1,40.68951500000008,-74.17677842004377,EWR,Newark Airport,EWR
2,40.62572435264664,-73.82614118027297,Queens,Jamaica Bay,Boro Zone
3,40.86587116200012,-73.84947945770672,Bronx,Allerton/Pelham Gardens,Boro Zone
4,40.72415107077582,-73.9770236288024,Manhattan,Alphabet City,Yellow Zone
5,40.5503392455001,-74.18993821824957,Staten Island,Arden Heights,Boro Zone
6,40.59905322500016,-74.06778553801817,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,40.761093500500095,-73.92148279409605,Queens,Astoria,Boro Zone
8,40.77860827161318,-73.9232007868998,Queens,Astoria Park,Boro Zone
9,40.754398539500116,-73.78801924756999,Queens,Auburndale,Boro Zone
10,40.678102737000074,-73.79165477982534,Queens,Baisley Park,Boro Zone
11,40.60397746100011,-74.01061463599257,Brooklyn,Bath Beach,Boro Zone
12,40.70248820779368,-74.01549021098441,Manhattan,Battery Park,Yellow Zone
13,40.71161206760416,-74.0161196766008,Manhattan,Battery Park City,Yellow Zone
14,40.623583720490814,-74.0304481023092,Brooklyn,Bay Ridge,Boro Zone
15,40.78524527900011,-73.78799365803954,Queens,Bay Terrace/Fort Totten,Boro Zone
16,40.761234667000096,-73.771675730763,Queens,Bayside,Boro Zone
17,40.69199106900007,-73.94918073487347,Brooklyn,Bedford,Boro Zone
18,40.868768049000124,-73.88692347148714,Bronx,Bedford Park,Boro Zone
19,40.73647106550014,-73.72789616810704,Queens,Bellerose,Boro Zone
20,40.85777299500011,-73.88603533820188,Bronx,Belmont,Boro Zone
21,40.60204864200011,-73.98130137448382,Brooklyn,Bensonhurst East,Boro Zone
22,40.60962702500011,-73.99429639434094,Brooklyn,Bensonhurst West,Boro Zone
23,40.60742764900009,-74.15934078790454,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,40.80203268400007,-73.96556852231629,Manhattan,Bloomingdale,Yellow Zone
25,40.68561524650012,-73.98645968364016,Brooklyn,Boerum Hill,Boro Zone
26,40.628612690000075,-73.98956065022762,Brooklyn,Borough Park,Boro Zone
27,40.55893838581602,-73.90979201133734,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,40.710852003000106,-73.80731485642542,Queens,Briarwood/Jamaica Hills,Boro Zone
29,40.582193092500134,-73.96058036145169,Brooklyn,Brighton Beach,Boro Zone
30,40.60487642909227,-73.82009794874088,Queens,Broad Channel,Boro Zone
31,40.8599257590001,-73.8757213950546,Bronx,Bronx Park,Boro Zone
32,40.86444473950006,-73.86462427886737,Bronx,Bronxdale,Boro Zone
33,40.69623825130231,-73.9953288798599,Brooklyn,Brooklyn Heights,Boro Zone
34,40.70255975554761,-73.96769992024625,Brooklyn,Brooklyn Navy Yard,Boro Zone
35,40.66380005100012,-73.91247128385568,Brooklyn,Brownsville,Boro Zone
36,40.69887486000009,-73.91619579837165,Brooklyn,Bushwick North,Boro Zone
37,40.696262002500134,-73.92593928699338,Brooklyn,Bushwick South,Boro Zone
38,40.69331631750008,-73.73555039605381,Queens,Cambria Heights,Boro Zone
39,40.63887742643444,-73.8997823406186,Brooklyn,Canarsie,Boro Zone
40,40.678504037000124,-73.99581789896946,Brooklyn,Carroll Gardens,Boro Zone
41,40.8042046100001,-73.95206438576466,Manhattan,Central Harlem,Boro Zone
42,40.82104321190151,-73.93951917049478,Manhattan,Central Harlem North,Boro Zone
43,40.782459600000095,-73.96557217411859,Manhattan,Central Park,Yellow Zone
44,40.52731631413858,-74.22952550437529,Staten Island,Charleston/Tottenville,Boro Zone
45,40.713057766500086,-73.99825263676705,Manhattan,Chinatown,Yellow Zone
46,40.84747023787965,-73.78642607171437,Bronx,City Island,Boro Zone
47,40.845754845000116,-73.89692894860767,Bronx,Claremont/Bathgate,Boro Zone
48,40.762236694500075,-73.98985665157598,Manhattan,Clinton East,Yellow Zone
49,40.68851424250012,-73.9649334305031,Brooklyn,Clinton Hill,Boro Zone
50,40.76669232218991,-73.9938993998029,Manhattan,Clinton West,Yellow Zone
51,40.87407230400011,-73.83041951479578,Bronx,Co-Op City,Boro Zone
52,40.686604419000105,-73.99692250825026,Brooklyn,Cobble Hill,Boro Zone
53,40.781984096360205,-73.84407864332026,Queens,College Point,Boro Zone
54,40.68613512794695,-74.00332903765525,Brooklyn,Columbia Street,Boro Zone
55,40.576897496833865,-73.99047354811577,Brooklyn,Coney Island,Boro Zone
56,40.74159827700011,-73.8590561981699,Queens,Corona,Boro Zone
57,40.752314307500114,-73.85338358908062,Queens,Corona,Boro Zone
58,40.8415080509041,-73.82072480570426,Bronx,Country Club,Boro Zone
59,40.838855708500084,-73.8930766885585,Bronx,Crotona Park,Boro Zone
60,40.83129382150008,-73.88978031547663,Bronx,Crotona Park East,Boro Zone
61,40.6738412455001,-73.94128334203586,Brooklyn,Crown Heights North,Boro Zone
62,40.667083411500066,-73.94926891100678,Brooklyn,Crown Heights South,Boro Zone
63,40.6848222715001,-73.87767728336962,Brooklyn,Cypress Hills,Boro Zone
64,40.760669013025236,-73.73145393874474,Queens,Douglaston,Boro Zone
65,40.695371816000105,-73.98557086538796,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
66,40.70173301050009,-73.98638255374917,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
67,40.618454062500085,-74.01473596701383,Brooklyn,Dyker Heights,Boro Zone
68,40.748397164000146,-73.99994015691506,Manhattan,East Chelsea,Yellow Zone
69,40.83060369350007,-73.91536837670606,Bronx,East Concourse/Concourse Village,Boro Zone
70,40.76394749500011,-73.86840541506554,Queens,East Elmhurst,Boro Zone
71,40.6439282315001,-73.93773452039369,Brooklyn,East Flatbush/Farragut,Boro Zone
72,40.652452265000086,-73.92020922969694,Brooklyn,East Flatbush/Remsen Village,Boro Zone
73,40.75369671650013,-73.80660074349723,Queens,East Flushing,Boro Zone
74,40.80556371816347,-73.93831328166497,Manhattan,East Harlem North,Boro Zone
75,40.79064981356312,-73.94495667212826,Manhattan,East Harlem South,Boro Zone
76,40.658702184500136,-73.87838079747581,Brooklyn,East New York,Boro Zone
77,40.66770172200009,-73.89571714567006,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
78,40.84601119400008,-73.88664503519986,Bronx,East Tremont,Boro Zone
79,40.72794410850012,-73.98521395748695,Manhattan,East Village,Yellow Zone
80,40.714461472391136,-73.94233580712347,Brooklyn,East Williamsburg,Boro Zone
81,40.877358851500105,-73.84555133439177,Bronx,Eastchester,Boro Zone
82,40.7384701635001,-73.8723466429037,Queens,Elmhurst,Boro Zone
83,40.740148611500096,-73.88923452039128,Queens,Elmhurst/Maspeth,Boro Zone
84,40.53201589550008,-74.17395805730305,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
85,40.64725480950011,-73.95220892348159,Brooklyn,Erasmus,Boro Zone
86,40.60258715845308,-73.75419151993745,Queens,Far Rockaway,Boro Zone
87,40.7066592365001,-74.00781186809238,Manhattan,Financial District North,Yellow Zone
88,40.70339376900012,-74.01130759465019,Manhattan,Financial District South,Yellow Zone
89,40.6409824860001,-73.96269443237776,Brooklyn,Flatbush/Ditmas Park,Boro Zone
90,40.74254620450007,-73.99677743636938,Manhattan,Flatiron,Yellow Zone
91,40.627389081500084,-73.93254325315539,Brooklyn,Flatlands,Boro Zone
92,40.7641270690001,-73.83044672340472,Queens,Flushing,Boro Zone
93,40.73924281800012,-73.8418976511079,Queens,Flushing Meadows-Corona Park,Boro Zone
94,40.85825676300007,-73.90059340521337,Bronx,Fordham South,Boro Zone
95,40.72347933700007,-73.84822836089982,Queens,Forest Hills,Boro Zone
96,40.69576048350012,-73.8759729911666,Queens,Forest Park/Highland Park,Boro Zone
97,40.6906169780001,-73.97557690632013,Brooklyn,Fort Greene,Boro Zone
98,40.7338404720001,-73.77956272459184,Queens,Fresh Meadows,Boro Zone
99,40.579616655500146,-74.18770492374546,Staten Island,Freshkills Park,Boro Zone
100,40.753514031000044,-73.98878589508396,Manhattan,Garment District,Yellow Zone
101,40.74374277900008,-73.70907286488209,Queens,Glen Oaks,Boro Zone
102,40.70266853650009,-73.88200822604259,Queens,Glendale,Boro Zone
103,40.689859604234535,-74.04518066253948,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
104,40.6986725112196,-74.03913070563104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
105,40.68813860065012,-74.01879335091732,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
106,40.6733614310001,-73.99176324091857,Brooklyn,Gowanus,Boro Zone
107,40.737348257500116,-73.98331039924568,Manhattan,Gramercy,Yellow Zone
108,40.58910940422016,-73.98037479809749,Brooklyn,Gravesend,Boro Zone
109,40.54882952550011,-74.1527268582755,Staten Island,Great Kills,Boro Zone
110,40.543265429660096,-74.1258485460086,Staten Island,Great Kills Park,Boro Zone
111,40.65211461950011,-73.99098768605536,Brooklyn,Green-Wood Cemetery,Boro Zone
112,40.728829714338886,-73.94848185261438,Brooklyn,Greenpoint,Boro Zone
113,40.732485857000114,-73.99462797473163,Manhattan,Greenwich Village North,Yellow Zone
114,40.728611614500096,-73.9986779689641,Manhattan,Greenwich Village South,Yellow Zone
115,40.620140858500065,-74.09247371780063,Staten Island,Grymes Hill/Clifton,Boro Zone
116,40.82753500295605,-73.94736745892493,Manhattan,Hamilton Heights,Boro Zone
117,40.59609533715395,-73.7760920679394,Queens,Hammels/Arverne,Boro Zone
118,40.58566432150006,-74.13706431241404,Staten Island,Heartland Village/Todt Hill,Boro Zone
